Year,borough,deaths,rate_per_100k,programs_per_100k,population
2022,BRONX,762.0,55.1,3.055707586439177,1472654
2022,MANHATTAN,416.0,26.1,4.01357295937851,1694251
2022,QUEENS,452.0,19.8,1.5797367992204414,2405464
